PALAVRA,CONTEXTO
AMARELO,COR
JANELAS,CASA
PLANETA,ESPACO
MUSICAS,OUVIR
ESPORTES,JOGAR
CIDADES,PAIS
FLORESTA,ARVORES
ANIMAIS,SELVAGEM
COMIDAS,SABOROSO
BEBIDAS,SEDE
FAMILIA,AMOR
TRABALHO,EMPREGO
ESTUDOS,APRENDER
VIAGENS,AVENTURA
PRESENTES,ALEGRIA
MOMENTOS,ESPECIAL
SENTIDOS,PERCEPCAO
PALAVRAS,COMUNICACAO
LEITURAS,CONHECIMENTO
ESCRITAS,IDEIAS
OBJETOS,UTILIDADE
LUGARES,VISITAR
PESSOAS,CONVIVER
SONHOS,ALCANCAR
DESEJOS,REALIZAR
EMOCOES,SENTIR
PENSAR,IDEIAS
SENTIR,EMOCOES
ACREDITAR,FE
ESPERANCA,FUTURO
SABEDORIA,CONHECER
ENTENDER,COMPREENDER
APRENDER,ESTUDAR
ENSINAR,MOSTRAR
CRIATIVO,INOVAR
IMAGINAR,FANTASIAR
INSPIRAR,MOTIVAR
TRANSFORMAR,MUDAR
CONSTRUIR,CRIAR
PROTEGER,CUIDAR
DEFENDER,APOIAR
LIBERDADE,INDEPENDENCIA
IGUALDADE,EQUIDADE
JUSTICA,DIREITO
VERDADE,SINCERIDADE
RESPEITO,CONSIDERACAO
TOLERANCIA,ACEITACAO
HUMILDADE,SIMPLICIDADE
GENEROSO,BONDADE
CORAGEM,BRAVURA
DETERMINACAO,PERSISTENCIA
PACIENCIA,CALMA
ALEGRIA,FELICIDADE
TRISTEZA,MELANCOLIA
RAIVA,IRRITACAO
MEDO,APREENSAO
SURPRESA,INESPERADO
ADMIRACAO,ENCANTO
GRATIDAO,RECONHECIMENTO
CONFIANCA,SEGURANCA
UNIAO,COOPERACAO
AMIZADE,COMPANHEIRISMO
CARINHO,AFETO
ABRACOS,AQUECIMENTO
SORRISOS,FELICIDADE
OLHARES,COMUNICACAO
PALAVRAS,EXPRESSAO
GESTOS,SINAIS
TOQUES,SENSACAO
CHEIROS,AROMA
SABORES,PALADAR
CORES,VIBRANTES
FORMAS,GEOMETRICAS
TEXTURAS,TATIL
TAMANHOS,DIMENSAO
PESOS,MASSA
VOLUMES,CAPACIDADE
TEMPERATURA,CALOR
VELOCIDADE,RAPIDEZ
ALTURAS,ELEVADO
LARGURAS,EXTENSAO
PROFUNDOS,INTIMO
SUPERFICIE,EXTERIOR
INTERIOR,DENTRO
EXTERIOR,FORA
INICIO,COMECO
FIM,TERMINO
MEIO,CENTRO
ANTES,PREVIO
DEPOIS,SEGUINTE
SEMPRE,ETERNO
NUNCA,JAMAS
RAPIDO,VELOZ
LENTO,DEVAGAR
MUITO,BASTANTE
POUCO,ESCASSO
TODO,INTEIRO
NENHUM,VAZIO
